picture;target;target_color;expected;display_size;condition
images/card_041.png;T;blue;positive;1;feature
images/card_034.png;X;blue;positive;1;feature
images/card_043.png;T;blue;positive;5;feature
images/card_036.png;X;blue;positive;5;feature
images/card_045.png;T;blue;positive;15;feature
images/card_038.png;X;blue;positive;15;feature
images/card_047.png;T;blue;positive;30;feature
images/card_040.png;X;blue;positive;30;feature
images/card_101.png;-;-;negative;1;feature
images/card_102.png;-;-;negative;1;feature
images/card_109.png;-;-;negative;5;feature
images/card_110.png;-;-;negative;5;feature
images/card_125.png;-;-;negative;30;feature
images/card_126.png;-;-;negative;30;feature
images/card_119.png;-;-;negative;15;feature
images/card_120.png;-;-;negative;15;feature
images/card_050.png;S;brown;positive;1;feature
images/card_052.png;S;brown;positive;5;feature
images/card_054.png;S;brown;positive;15;feature
images/card_056.png;S;brown;positive;30;feature
images/card_058.png;S;green;positive;1;feature
images/card_060.png;S;green;positive;5;feature
images/card_062.png;S;green;positive;15;feature
images/card_064.png;S;green;positive;30;feature
images/card_103.png;-;-;negative;1;feature
images/card_104.png;-;-;negative;1;feature
images/card_111.png;-;-;negative;5;feature
images/card_112.png;-;-;negative;5;feature
images/card_119.png;-;-;negative;15;feature
images/card_120.png;-;-;negative;15;feature
images/card_127.png;-;-;negative;30;feature
images/card_128.png;-;-;negative;30;feature
