submission_id,age,block_number,blockorder,condition,display_size,education,expected,experiment_duration,experiment_end_time,experiment_start_time,gender,image,languages,qud,question,response,response_time,target,target_color,trial_number
3392,30,0,CDCD,feature,15,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_061.png,German,,,positive,2913,S,green,0
3392,30,0,CDCD,feature,30,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_124.png,German,,,negative,1887,-,-,1
3392,30,0,CDCD,feature,1,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_098.png,German,,,negative,1046,-,-,2
3392,30,0,CDCD,feature,30,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_121.png,German,,,negative,1468,-,-,3
3392,30,0,CDCD,feature,1,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_097.png,German,,,negative,751,-,-,4
3392,30,0,CDCD,feature,5,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_043.png,German,,,positive,837,T,blue,5
3392,30,0,CDCD,feature,15,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_114.png,German,,,negative,997,-,-,6
3392,30,0,CDCD,feature,5,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_107.png,German,,,negative,658,-,-,7
3392,30,0,CDCD,feature,30,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_048.png,German,,,positive,751,T,blue,8
3392,30,0,CDCD,feature,15,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_115.png,German,,,negative,728,-,-,9
3392,30,0,CDCD,feature,1,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_049.png,German,,,positive,838,S,brown,10
3392,30,0,CDCD,feature,1,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_057.png,German,,,positive,648,S,green,11
3392,30,0,CDCD,feature,30,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_039.png,German,,,positive,742,X,blue,12
3392,30,0,CDCD,feature,1,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_099.png,German,,,negative,624,-,-,13
3392,30,0,CDCD,feature,15,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_045.png,German,,,positive,671,T,blue,14
3392,30,0,CDCD,feature,5,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_105.png,German,,,negative,682,-,-,15
3392,30,0,CDCD,feature,15,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_053.png,German,,,positive,570,S,brown,16
3392,30,0,CDCD,feature,30,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_055.png,German,,,negative,555,S,brown,17
3392,30,0,CDCD,feature,1,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_033.png,German,,,positive,775,X,blue,18
3392,30,0,CDCD,feature,15,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_037.png,German,,,positive,592,X,blue,19
3392,30,0,CDCD,feature,15,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_113.png,German,,,negative,864,-,-,20
3392,30,0,CDCD,feature,1,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_041.png,German,,,positive,623,T,blue,21
3392,30,0,CDCD,feature,1,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_100.png,German,,,positive,657,-,-,22
3392,30,0,CDCD,feature,30,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_063.png,German,,,positive,747,S,green,23
3392,30,0,CDCD,feature,30,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_122.png,German,,,negative,1351,-,-,24
3392,30,0,CDCD,feature,5,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_059.png,German,,,positive,598,S,green,25
3392,30,0,CDCD,feature,5,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_106.png,German,,,negative,1016,-,-,26
3392,30,0,CDCD,feature,5,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_108.png,German,,,negative,955,-,-,27
3392,30,0,CDCD,feature,15,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_116.png,German,,,negative,819,-,-,28
3392,30,0,CDCD,feature,5,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_051.png,German,,,positive,541,S,brown,29
3392,30,0,CDCD,feature,30,Higher degree,negative,580541,1648540538385,1648539957844,male,images/card_123.png,German,,,negative,1228,-,-,30
3392,30,0,CDCD,feature,5,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_035.png,German,,,positive,627,X,blue,31
3392,30,1,CDCD,conjunction,1,Higher degree,positive,580541,1648540538385,1648539957844,male,images/card_004.png,German,,,positive,560,T,green,0
